dog,chien
wolf,loup
people,personnes
history,l'histoire
way,façon
art,art
world,monde
information,information
map,carte
two,deux
family,famille
government,gouvernement
health,santé
system,système
computer,ordinateur
meat,moi à
year,année
thanks,Merci
music,la musique
person,la personne
reading,en train de lire
method,méthode
data,Les données
food,aliments
understanding,compréhension
theory,théorie
law,loi
bird,oiseau
literature,Littérature
problem,problème
software,Logiciel
control,contrôle
knowledge,connaissance
power,Puissance
ability,aptitude
economics,économie
love,amour
